eval_avg/return_s/h0_weak_thrust,eval_video/len_s/h9_explode_then_thrust_over,eval_video/len_s/h7_unicycle_left,eval_avg/solve_rate_s/h9_explode_then_thrust_over,media/eval_video_s/h5_rotate_fall,eval_video/len_s/h6_unicycle_right,eval_video/len_s/h5_rotate_fall,eval_video/len_s/h4_thrust_aim,eval_video/len_s/h3_point_the_thruster,eval_avg/solve_rate_s/h0_weak_thrust,eval_video/return_s/h3_point_the_thruster,media/eval_video_s/h8_unicycle_balance,eval_avg/return_s/h9_explode_then_thrust_over,eval_avg/return_s/h1_thrust_over_ball,eval_video/len_s/h1_thrust_over_ball,eval_video/return_s/h0_weak_thrust,eval_avg/solve_rate_s/h3_point_the_thruster,timing/num_updates,eval_avg/solve_rate_s/h6_unicycle_right,eval_avg/solve_rate_s/h7_unicycle_left,timing/sps_agg,eval/mean_eval_solve,eval_video/return_s/h2_one_wheel_car,media/eval_video_s/h0_weak_thrust,eval_video/return_s/h6_unicycle_right,media/eval_video_s/h1_thrust_over_ball,eval_video/return_s/h8_unicycle_balance,media/eval_video_s/h7_unicycle_left,eval_video/len_s/h0_weak_thrust,num_completed_episodes,eval_avg/return_s/h4_thrust_aim,eval_avg/return_s/h7_unicycle_left,timing/sps,eval_avg/return_s/h3_point_the_thruster,_timestamp,timing/num_env_steps,episode_return,media/eval_video_s/h2_one_wheel_car,media/eval_video_s/h6_unicycle_right,media/eval_video_s/h9_explode_then_thrust_over,eval_video/return_s/h5_rotate_fall,eval_avg/solve_rate_s/h4_thrust_aim,eval_avg/return_s/h2_one_wheel_car,_step,eval_avg/solve_rate_s/h8_unicycle_balance,eval_video/return_s/h9_explode_then_thrust_over,eval_avg/return_s/h5_rotate_fall,eval/mean_eval_eplen,eval_video/len_s/h8_unicycle_balance,eval/mean_eval_return,eval_avg/return_s/h6_unicycle_right,_runtime,eval_video/return_s/h1_thrust_over_ball,eval_video/len_s/h2_one_wheel_car,eval_avg/solve_rate_s/h1_thrust_over_ball,eval_avg/solve_rate_s/h5_rotate_fall,eval_avg/solve_rate_s/h2_one_wheel_car,eval_video/return_s/h7_unicycle_left,episode_solved,eval_video/return_s/h4_thrust_aim,media/eval_video_s/h3_point_the_thruster,media/eval_video_s/h4_thrust_aim,episode_length,eval_avg/return_s/h8_unicycle_balance
,,,,,,,,,,,,,,,,,10,,,29750.61041253733,,,,,,,,,8597,,,41561.67992834654,,1763185726.1732457,20480000.0,0.8138805627822876,,,,,,,10,,,,,,,,707.114801221,,,,,,,0.16133534908294678,,,,237.8306427001953,
,,,,,,,,,,,,,,,,,11,,,30538.89023577621,,,,,,,,,8569,,,41547.39478970807,,1763185775.4665248,22528000.0,0.8102370500564575,,,,,,,11,,,,,,,,756.410035196,,,,,,,0.15719453990459442,,,,238.591552734375,
,,,,,,,,,,,,,,,,,12,,,31228.305331902255,,,,,,,,,8594,,,41544.94971924928,,1763185824.7624636,24576000.0,0.8114252686500549,,,,,,,12,,,,,,,,805.704570873,,,,,,,0.1584826558828354,,,,238.8117218017578,
,,,,,,,,,,,,,,,,,13,,,31837.23953463636,,,,,,,,,8547,,,41562.60577981448,,1763185874.0374637,26624000.0,0.8201883435249329,,,,,,,13,,,,,,,,854.981090677,,,,,,,0.16438516974449158,,,,238.28501892089844,
,,,,,,,,,,,,,,,,,14,,,32377.425505313644,,,,,,,,,8646,,,41540.00600221388,,1763185923.3394163,28672000.0,0.8236153721809387,,,,,,,14,,,,,,,,904.280563959,,,,,,,0.16608835756778717,,,,237.45176696777344,
,,,,,,,,,,,,,,,,,15,,,32861.152160277685,,,,,,,,,8595,,,41552.39292837901,,1763185972.6268568,30720000.0,0.8159548044204712,,,,,,,15,,,,,,,,953.56924778,,,,,,,0.1597440391778946,,,,238.38580322265625,
,,,,,,,,,,,,,,,,,16,,,33296.59919074563,,,,,,,,,8610,,,41556.68840133497,,1763186021.9084427,32768000.0,0.8183934092521667,,,,,,,16,,,,,,,,1002.851029073,,,,,,,0.16364692151546478,,,,237.77549743652344,
,,,,,,,,,,,,,,,,,17,,,33690.52911917583,,,,,,,,,8593,,,41557.07441019189,,1763186071.1904128,34816000.0,0.8169435262680054,,,,,,,17,,,,,,,,1052.133905817,,,,,,,0.16292330622673035,,,,238.4339599609375,
,,,,,,,,,,,,,,,,,18,,,34048.39066046995,,,,,,,,,8629,,,41551.53265398011,,1763186120.4782634,36864000.0,0.8258788585662842,,,,,,,18,,,,,,,,1101.422084816,,,,,,,0.16861745715141296,,,,237.45602416992188,
,,,,,,,,,,,,,,,,,19,,,34374.89008139235,,,,,,,,,8608,,,41546.023320516666,,1763186169.7734668,38912000.0,0.8228138089179993,,,,,,,19,,,,,,,,1150.715475873,,,,,,,0.16589219868183136,,,,237.9647979736328,
,,,,,,,,,,,,,,,,,20,,,34674.08300815214,,,,,,,,,8564,,,41544.38712049191,,1763186219.070154,40960000.0,0.810122013092041,,,,,,,20,,,,,,,,1200.012091305,,,,,,,0.1554180234670639,,,,238.9732666015625,
