"Step","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_4_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_4_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_4_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_3_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_3_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_3_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_2_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_2_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_2_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_1_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_1_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_1_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_0_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_0_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_200_trial_0_contcorrect_True - current_best_fitness__MAX"
"556","137.8046875","137.8046875","137.8046875","11.3125","11.3125","11.3125","9.40625","9.40625","9.40625","31.21875","31.21875","31.21875","9.3984375","9.3984375","9.3984375"
"557","133.4609375","133.4609375","133.4609375","10.3359375","10.3359375","10.3359375","9.421875","9.421875","9.421875","26.8671875","26.8671875","26.8671875","9.40625","9.40625","9.40625"
"558","149.5625","149.5625","149.5625","12.453125","12.453125","12.453125","9.3203125","9.3203125","9.3203125","25.546875","25.546875","25.546875","9.4140625","9.4140625","9.4140625"
"559","162.6875","162.6875","162.6875","12.0703125","12.0703125","12.0703125","9.359375","9.359375","9.359375","16.921875","16.921875","16.921875","9.34375","9.34375","9.34375"
"560","191.25","191.25","191.25","12.7890625","12.7890625","12.7890625","9.296875","9.296875","9.296875","15.5390625","15.5390625","15.5390625","9.3359375","9.3359375","9.3359375"
"561","187.296875","187.296875","187.296875","13.1015625","13.1015625","13.1015625","9.25","9.25","9.25","14.6015625","14.6015625","14.6015625","9.359375","9.359375","9.359375"
"562","157.25","157.25","157.25","13.484375","13.484375","13.484375","9.3828125","9.3828125","9.3828125","13.078125","13.078125","13.078125","9.4140625","9.4140625","9.4140625"
"563","142.1640625","142.1640625","142.1640625","13.6015625","13.6015625","13.6015625","9.3828125","9.3828125","9.3828125","11.5390625","11.5390625","11.5390625","9.3984375","9.3984375","9.3984375"
"564","143.71875","143.71875","143.71875","13.6015625","13.6015625","13.6015625","9.390625","9.390625","9.390625","13.1796875","13.1796875","13.1796875","9.34375","9.34375","9.34375"
"565","199.1875","199.1875","199.1875","13.21875","13.21875","13.21875","9.359375","9.359375","9.359375","18.0703125","18.0703125","18.0703125","9.34375","9.34375","9.34375"
"566","134.890625","134.890625","134.890625","11.921875","11.921875","11.921875","9.3359375","9.3359375","9.3359375","16.15625","16.15625","16.15625","9.34375","9.34375","9.34375"
"567","108.9921875","108.9921875","108.9921875","13.9921875","13.9921875","13.9921875","9.3671875","9.3671875","9.3671875","16.578125","16.578125","16.578125","9.4296875","9.4296875","9.4296875"
"568","51.28125","51.28125","51.28125","14.9453125","14.9453125","14.9453125","9.34375","9.34375","9.34375","13.390625","13.390625","13.390625","9.421875","9.421875","9.421875"
"569","26.7734375","26.7734375","26.7734375","14.953125","14.953125","14.953125","9.34375","9.34375","9.34375","12.1640625","12.1640625","12.1640625","9.3046875","9.3046875","9.3046875"
"570","24.375","24.375","24.375","15.125","15.125","15.125","9.3125","9.3125","9.3125","11.515625","11.515625","11.515625","9.265625","9.265625","9.265625"
"571","25.6953125","25.6953125","25.6953125","15.6875","15.6875","15.6875","9.328125","9.328125","9.328125","14.484375","14.484375","14.484375","9.4296875","9.4296875","9.4296875"
"572","90.171875","90.171875","90.171875","15.984375","15.984375","15.984375","9.5546875","9.5546875","9.5546875","20.1796875","20.1796875","20.1796875","9.3671875","9.3671875","9.3671875"
"573","104.859375","104.859375","104.859375","15.6796875","15.6796875","15.6796875","11.875","11.875","11.875","38.8359375","38.8359375","38.8359375","9.3671875","9.3671875","9.3671875"
"574","107.1328125","107.1328125","107.1328125","13.34375","13.34375","13.34375","21.9765625","21.9765625","21.9765625","32.6015625","32.6015625","32.6015625","9.2890625","9.2890625","9.2890625"
"575","88.5","88.5","88.5","14.59375","14.59375","14.59375","18.0546875","18.0546875","18.0546875","37.8671875","37.8671875","37.8671875","9.3359375","9.3359375","9.3359375"
"576","94.390625","94.390625","94.390625","14.2265625","14.2265625","14.2265625","10.53125","10.53125","10.53125","35.1328125","35.1328125","35.1328125","9.3515625","9.3515625","9.3515625"
"577","115.2109375","115.2109375","115.2109375","14.265625","14.265625","14.265625","9.28125","9.28125","9.28125","33.0859375","33.0859375","33.0859375","9.453125","9.453125","9.453125"
"578","105.5625","105.5625","105.5625","13.203125","13.203125","13.203125","9.3359375","9.3359375","9.3359375","22.6171875","22.6171875","22.6171875","9.3125","9.3125","9.3125"
"579","29.46875","29.46875","29.46875","13.40625","13.40625","13.40625","9.3125","9.3125","9.3125","16.4453125","16.4453125","16.4453125","9.3125","9.3125","9.3125"
"580","35.296875","35.296875","35.296875","13.3515625","13.3515625","13.3515625","9.3203125","9.3203125","9.3203125","12.6328125","12.6328125","12.6328125","9.2890625","9.2890625","9.2890625"
"581","56.2421875","56.2421875","56.2421875","13.6328125","13.6328125","13.6328125","9.296875","9.296875","9.296875","11.5859375","11.5859375","11.5859375","9.3515625","9.3515625","9.3515625"
"582","103.578125","103.578125","103.578125","13.0546875","13.0546875","13.0546875","9.3828125","9.3828125","9.3828125","12.375","12.375","12.375","9.3359375","9.3359375","9.3359375"
"583","122.3828125","122.3828125","122.3828125","13","13","13","9.40625","9.40625","9.40625","12.765625","12.765625","12.765625","9.4296875","9.4296875","9.4296875"
"584","134.453125","134.453125","134.453125","12.6875","12.6875","12.6875","9.3828125","9.3828125","9.3828125","12.5078125","12.5078125","12.5078125","9.3671875","9.3671875","9.3671875"
"585","149.2265625","149.2265625","149.2265625","11.015625","11.015625","11.015625","9.3125","9.3125","9.3125","14.078125","14.078125","14.078125","9.3671875","9.3671875","9.3671875"
"586","150.4453125","150.4453125","150.4453125","12.8125","12.8125","12.8125","9.359375","9.359375","9.359375","13.7421875","13.7421875","13.7421875","9.3828125","9.3828125","9.3828125"
"587","161.8046875","161.8046875","161.8046875","12.96875","12.96875","12.96875","9.375","9.375","9.375","14.9609375","14.9609375","14.9609375","9.3515625","9.3515625","9.3515625"
"588","129.421875","129.421875","129.421875","12.8203125","12.8203125","12.8203125","9.28125","9.28125","9.28125","13.140625","13.140625","13.140625","9.4296875","9.4296875","9.4296875"
"589","120.140625","120.140625","120.140625","12.046875","12.046875","12.046875","9.265625","9.265625","9.265625","10.8125","10.8125","10.8125","9.2578125","9.2578125","9.2578125"
"590","126.03125","126.03125","126.03125","12.015625","12.015625","12.015625","9.2734375","9.2734375","9.2734375","12.5","12.5","12.5","9.3125","9.3125","9.3125"
"591","146.28125","146.28125","146.28125","10.6328125","10.6328125","10.6328125","13.84375","13.84375","13.84375","12.4375","12.4375","12.4375","9.3125","9.3125","9.3125"
"592","117.921875","117.921875","117.921875","10.7890625","10.7890625","10.7890625","11.5625","11.5625","11.5625","15.1953125","15.1953125","15.1953125","9.3984375","9.3984375","9.3984375"
"593","135.34375","135.34375","135.34375","10.5703125","10.5703125","10.5703125","15.625","15.625","15.625","13.9765625","13.9765625","13.9765625","9.3359375","9.3359375","9.3359375"
"594","124.6484375","124.6484375","124.6484375","10.625","10.625","10.625","23.2109375","23.2109375","23.2109375","28.1328125","28.1328125","28.1328125","9.3671875","9.3671875","9.3671875"
"595","117.0234375","117.0234375","117.0234375","10.7265625","10.7265625","10.7265625","9.328125","9.328125","9.328125","26.40625","26.40625","26.40625","9.265625","9.265625","9.265625"
"596","148.15625","148.15625","148.15625","10.3984375","10.3984375","10.3984375","32.15625","32.15625","32.15625","20.4609375","20.4609375","20.4609375","9.421875","9.421875","9.421875"
"597","110.2421875","110.2421875","110.2421875","10.5703125","10.5703125","10.5703125","101.8828125","101.8828125","101.8828125","18.125","18.125","18.125","9.4296875","9.4296875","9.4296875"
"598","113.921875","113.921875","113.921875","10.90625","10.90625","10.90625","198.3515625","198.3515625","198.3515625","20.5390625","20.5390625","20.5390625","9.3671875","9.3671875","9.3671875"
"599","129.3828125","129.3828125","129.3828125","10.734375","10.734375","10.734375","199.40625","199.40625","199.40625","30.578125","30.578125","30.578125","9.3671875","9.3671875","9.3671875"
"600","141.4140625","141.4140625","141.4140625","10.3671875","10.3671875","10.3671875","128.7578125","128.7578125","128.7578125","28.09375","28.09375","28.09375","9.421875","9.421875","9.421875"
"601","12.125","12.125","12.125","200","200","200","9.1953125","9.1953125","9.1953125","9.3828125","9.3828125","9.3828125","11.6015625","11.6015625","11.6015625"
"602","12.7109375","12.7109375","12.7109375","200","200","200","9.1953125","9.1953125","9.1953125","9.640625","9.640625","9.640625","11.6171875","11.6171875","11.6171875"
"603","13.21875","13.21875","13.21875","200","200","200","9.4140625","9.4140625","9.4140625","18.2890625","18.2890625","18.2890625","11.515625","11.515625","11.515625"
"604","11.3984375","11.3984375","11.3984375","200","200","200","9.3828125","9.3828125","9.3828125","20.1171875","20.1171875","20.1171875","11.484375","11.484375","11.484375"
"605","11.3828125","11.3828125","11.3828125","200","200","200","9.328125","9.328125","9.328125","196.734375","196.734375","196.734375","11.3671875","11.3671875","11.3671875"
"606","10.84375","10.84375","10.84375","200","200","200","9.3125","9.3125","9.3125","54.1640625","54.1640625","54.1640625","11.4765625","11.4765625","11.4765625"
"607","10.0390625","10.0390625","10.0390625","200","200","200","9.3984375","9.3984375","9.3984375","14.03125","14.03125","14.03125","11.453125","11.453125","11.453125"
"608","9.71875","9.71875","9.71875","200","200","200","9.421875","9.421875","9.421875","13.875","13.875","13.875","11.5078125","11.5078125","11.5078125"
"609","9.8203125","9.8203125","9.8203125","200","200","200","9.3359375","9.3359375","9.3359375","12.0703125","12.0703125","12.0703125","11.5390625","11.5390625","11.5390625"
"610","10.0859375","10.0859375","10.0859375","200","200","200","9.3515625","9.3515625","9.3515625","9.953125","9.953125","9.953125","11.5546875","11.5546875","11.5546875"
"611","10.2421875","10.2421875","10.2421875","200","200","200","9.3671875","9.3671875","9.3671875","11.34375","11.34375","11.34375","11.3984375","11.3984375","11.3984375"
"612","10.671875","10.671875","10.671875","200","200","200","9.4609375","9.4609375","9.4609375","10.609375","10.609375","10.609375","11.4921875","11.4921875","11.4921875"
"613","11.0546875","11.0546875","11.0546875","200","200","200","9.4375","9.4375","9.4375","10.765625","10.765625","10.765625","11.46875","11.46875","11.46875"
"614","11.5","11.5","11.5","200","200","200","9.4140625","9.4140625","9.4140625","15.6875","15.6875","15.6875","11.5546875","11.5546875","11.5546875"
"615","11.8046875","11.8046875","11.8046875","200","200","200","9.6640625","9.6640625","9.6640625","13.453125","13.453125","13.453125","11.59375","11.59375","11.59375"
"616","11.6796875","11.6796875","11.6796875","200","200","200","10.2890625","10.2890625","10.2890625","20.796875","20.796875","20.796875","11.4921875","11.4921875","11.4921875"
"617","11.546875","11.546875","11.546875","200","200","200","9.7890625","9.7890625","9.7890625","10.7890625","10.7890625","10.7890625","11.4140625","11.4140625","11.4140625"
"618","11.4140625","11.4140625","11.4140625","200","200","200","14.0234375","14.0234375","14.0234375","12","12","12","11.5234375","11.5234375","11.5234375"
"619","11.03125","11.03125","11.03125","200","200","200","10.4609375","10.4609375","10.4609375","10.8984375","10.8984375","10.8984375","11.546875","11.546875","11.546875"
"620","10.46875","10.46875","10.46875","200","200","200","10.4375","10.4375","10.4375","9.3671875","9.3671875","9.3671875","11.546875","11.546875","11.546875"
"621","10.8046875","10.8046875","10.8046875","200","200","200","9.953125","9.953125","9.953125","9.2734375","9.2734375","9.2734375","11.546875","11.546875","11.546875"
"622","11.28125","11.28125","11.28125","200","200","200","9.84375","9.84375","9.84375","9.671875","9.671875","9.671875","11.4921875","11.4921875","11.4921875"
"623","11.3984375","11.3984375","11.3984375","200","200","200","9.5625","9.5625","9.5625","10.3671875","10.3671875","10.3671875","11.609375","11.609375","11.609375"
"624","11.28125","11.28125","11.28125","200","200","200","9.3515625","9.3515625","9.3515625","9.4375","9.4375","9.4375","11.5703125","11.5703125","11.5703125"
"625","10.703125","10.703125","10.703125","200","200","200","9.3046875","9.3046875","9.3046875","9.328125","9.328125","9.328125","11.5","11.5","11.5"
"626","11.15625","11.15625","11.15625","200","200","200","9.2578125","9.2578125","9.2578125","10.171875","10.171875","10.171875","11.53125","11.53125","11.53125"
"627","11.4375","11.4375","11.4375","200","200","200","9.3125","9.3125","9.3125","9.5546875","9.5546875","9.5546875","11.578125","11.578125","11.578125"
"628","10.40625","10.40625","10.40625","200","200","200","9.3125","9.3125","9.3125","10.28125","10.28125","10.28125","11.5390625","11.5390625","11.5390625"
"629","11.3671875","11.3671875","11.3671875","200","200","200","9.3203125","9.3203125","9.3203125","19.8125","19.8125","19.8125","11.5859375","11.5859375","11.5859375"
"630","11.375","11.375","11.375","200","200","200","9.3203125","9.3203125","9.3203125","140.859375","140.859375","140.859375","11.4296875","11.4296875","11.4296875"
"631","11.5","11.5","11.5","200","200","200","9.34375","9.34375","9.34375","178.90625","178.90625","178.90625","11.4921875","11.4921875","11.4921875"
"632","11.4375","11.4375","11.4375","200","200","200","9.3359375","9.3359375","9.3359375","150.8984375","150.8984375","150.8984375","11.4375","11.4375","11.4375"
"633","11.53125","11.53125","11.53125","200","200","200","9.2421875","9.2421875","9.2421875","15.3671875","15.3671875","15.3671875","11.625","11.625","11.625"
"634","11.515625","11.515625","11.515625","200","200","200","9.1953125","9.1953125","9.1953125","12.0625","12.0625","12.0625","11.5546875","11.5546875","11.5546875"
"635","11.515625","11.515625","11.515625","200","200","200","9.453125","9.453125","9.453125","10.2265625","10.2265625","10.2265625","11.4921875","11.4921875","11.4921875"
"636","11.3828125","11.3828125","11.3828125","200","200","200","9.3671875","9.3671875","9.3671875","9.9140625","9.9140625","9.9140625","11.359375","11.359375","11.359375"
"637","11.5703125","11.5703125","11.5703125","200","200","200","9.296875","9.296875","9.296875","9.71875","9.71875","9.71875","11.5390625","11.5390625","11.5390625"
"638","11.609375","11.609375","11.609375","200","200","200","9.40625","9.40625","9.40625","11.6953125","11.6953125","11.6953125","11.53125","11.53125","11.53125"
"639","11.0390625","11.0390625","11.0390625","200","200","200","9.390625","9.390625","9.390625","11.53125","11.53125","11.53125","11.578125","11.578125","11.578125"
"640","10.90625","10.90625","10.90625","200","200","200","9.359375","9.359375","9.359375","9.65625","9.65625","9.65625","11.4453125","11.4453125","11.4453125"
"641","11.1328125","11.1328125","11.1328125","200","200","200","9.3515625","9.3515625","9.3515625","11.1640625","11.1640625","11.1640625","11.4296875","11.4296875","11.4296875"
"642","11.46875","11.46875","11.46875","200","200","200","9.4296875","9.4296875","9.4296875","10.4296875","10.4296875","10.4296875","11.6484375","11.6484375","11.6484375"
"643","10.734375","10.734375","10.734375","200","200","200","9.3125","9.3125","9.3125","12.65625","12.65625","12.65625","11.5625","11.5625","11.5625"
"644","10.5078125","10.5078125","10.5078125","200","200","200","9.3515625","9.3515625","9.3515625","9.9921875","9.9921875","9.9921875","11.5234375","11.5234375","11.5234375"
"645","10.484375","10.484375","10.484375","200","200","200","9.34375","9.34375","9.34375","17.703125","17.703125","17.703125","11.453125","11.453125","11.453125"
"646","9.671875","9.671875","9.671875","200","200","200","9.4453125","9.4453125","9.4453125","45.0234375","45.0234375","45.0234375","11.65625","11.65625","11.65625"
"647","9.65625","9.65625","9.65625","200","200","200","9.359375","9.359375","9.359375","23.9609375","23.9609375","23.9609375","11.6796875","11.6796875","11.6796875"
"648","9.8828125","9.8828125","9.8828125","200","200","200","9.390625","9.390625","9.390625","27.84375","27.84375","27.84375","11.5078125","11.5078125","11.5078125"
"649","10.5","10.5","10.5","200","200","200","9.3046875","9.3046875","9.3046875","15.71875","15.71875","15.71875","11.328125","11.328125","11.328125"
"650","10.0625","10.0625","10.0625","200","200","200","9.4375","9.4375","9.4375","11.6484375","11.6484375","11.6484375","11.640625","11.640625","11.640625"
"651","10.2734375","10.2734375","10.2734375","200","200","200","9.3828125","9.3828125","9.3828125","11.4921875","11.4921875","11.4921875","11.5390625","11.5390625","11.5390625"
"652","10.3984375","10.3984375","10.3984375","200","200","200","9.3125","9.3125","9.3125","9.9453125","9.9453125","9.9453125","11.59375","11.59375","11.59375"
"653","12.046875","12.046875","12.046875","200","200","200","9.4375","9.4375","9.4375","9.6171875","9.6171875","9.6171875","11.40625","11.40625","11.40625"
"654","11.2890625","11.2890625","11.2890625","200","200","200","9.296875","9.296875","9.296875","9.7421875","9.7421875","9.7421875","11.5859375","11.5859375","11.5859375"
"655","12.515625","12.515625","12.515625","200","200","200","9.3671875","9.3671875","9.3671875","9.6015625","9.6015625","9.6015625","11.46875","11.46875","11.46875"
"656","13.2578125","13.2578125","13.2578125","200","200","200","9.2734375","9.2734375","9.2734375","9.875","9.875","9.875","11.46875","11.46875","11.46875"
"657","13.7578125","13.7578125","13.7578125","200","200","200","9.421875","9.421875","9.421875","11.53125","11.53125","11.53125","11.4453125","11.4453125","11.4453125"
"658","14.15625","14.15625","14.15625","200","200","200","9.421875","9.421875","9.421875","11.171875","11.171875","11.171875","11.625","11.625","11.625"
"659","15.0859375","15.0859375","15.0859375","200","200","200","9.390625","9.390625","9.390625","11.171875","11.171875","11.171875","11.5703125","11.5703125","11.5703125"
"660","14.8828125","14.8828125","14.8828125","200","200","200","9.3515625","9.3515625","9.3515625","12.234375","12.234375","12.234375","11.53125","11.53125","11.53125"
"661","13.2578125","13.2578125","13.2578125","200","200","200","9.296875","9.296875","9.296875","12.828125","12.828125","12.828125","11.640625","11.640625","11.640625"
"662","12.4375","12.4375","12.4375","200","200","200","9.3671875","9.3671875","9.3671875","12.546875","12.546875","12.546875","11.859375","11.859375","11.859375"
"663","11.4296875","11.4296875","11.4296875","200","200","200","9.390625","9.390625","9.390625","14.1328125","14.1328125","14.1328125","12.3359375","12.3359375","12.3359375"
"664","10.3515625","10.3515625","10.3515625","200","200","200","9.421875","9.421875","9.421875","11.5859375","11.5859375","11.5859375","11.796875","11.796875","11.796875"
"665","9.640625","9.640625","9.640625","200","200","200","9.3203125","9.3203125","9.3203125","10.5234375","10.5234375","10.5234375","18.53125","18.53125","18.53125"
"666","9.6328125","9.6328125","9.6328125","200","200","200","9.328125","9.328125","9.328125","9.5703125","9.5703125","9.5703125","55","55","55"
"667","9.390625","9.390625","9.390625","200","200","200","9.328125","9.328125","9.328125","11.7421875","11.7421875","11.7421875","11.7890625","11.7890625","11.7890625"
"668","9.3359375","9.3359375","9.3359375","200","200","200","9.3515625","9.3515625","9.3515625","17.78125","17.78125","17.78125","11.921875","11.921875","11.921875"
"669","9.375","9.375","9.375","200","200","200","9.3515625","9.3515625","9.3515625","16.8671875","16.8671875","16.8671875","12.171875","12.171875","12.171875"
"670","9.8046875","9.8046875","9.8046875","194.828125","194.828125","194.828125","9.3359375","9.3359375","9.3359375","17.8515625","17.8515625","17.8515625","15.640625","15.640625","15.640625"
"671","9.390625","9.390625","9.390625","178.703125","178.703125","178.703125","9.2890625","9.2890625","9.2890625","16.421875","16.421875","16.421875","12.2265625","12.2265625","12.2265625"
"672","9.953125","9.953125","9.953125","194.4296875","194.4296875","194.4296875","9.25","9.25","9.25","11.6328125","11.6328125","11.6328125","12.796875","12.796875","12.796875"
"673","10.3203125","10.3203125","10.3203125","197.5","197.5","197.5","9.4296875","9.4296875","9.4296875","13.140625","13.140625","13.140625","26.046875","26.046875","26.046875"
"674","9.4921875","9.4921875","9.4921875","199.609375","199.609375","199.609375","9.3359375","9.3359375","9.3359375","11.78125","11.78125","11.78125","55.8046875","55.8046875","55.8046875"
"675","11.40625","11.40625","11.40625","200","200","200","9.28125","9.28125","9.28125","10.9375","10.9375","10.9375","32.328125","32.328125","32.328125"
"676","10.9140625","10.9140625","10.9140625","200","200","200","9.3125","9.3125","9.3125","10.015625","10.015625","10.015625","34.7109375","34.7109375","34.7109375"
"677","11.1796875","11.1796875","11.1796875","200","200","200","9.3984375","9.3984375","9.3984375","9.3515625","9.3515625","9.3515625","86.96875","86.96875","86.96875"
"678","10.84375","10.84375","10.84375","200","200","200","9.515625","9.515625","9.515625","9.2265625","9.2265625","9.2265625","83.2109375","83.2109375","83.2109375"
"679","11.4140625","11.4140625","11.4140625","200","200","200","10.9140625","10.9140625","10.9140625","9.3203125","9.3203125","9.3203125","66.875","66.875","66.875"
"680","11","11","11","200","200","200","12.359375","12.359375","12.359375","9.4765625","9.4765625","9.4765625","31.6953125","31.6953125","31.6953125"
"681","11","11","11","200","200","200","13.3203125","13.3203125","13.3203125","9.40625","9.40625","9.40625","47.46875","47.46875","47.46875"
"682","10.3359375","10.3359375","10.3359375","200","200","200","11.28125","11.28125","11.28125","9.390625","9.390625","9.390625","39.5703125","39.5703125","39.5703125"
"683","10.8984375","10.8984375","10.8984375","200","200","200","10.3125","10.3125","10.3125","9.4375","9.4375","9.4375","24.7109375","24.7109375","24.7109375"
"684","10.5","10.5","10.5","200","200","200","9.6953125","9.6953125","9.6953125","9.4296875","9.4296875","9.4296875","33.234375","33.234375","33.234375"
"685","10.3046875","10.3046875","10.3046875","200","200","200","9.609375","9.609375","9.609375","10.1953125","10.1953125","10.1953125","52.40625","52.40625","52.40625"
"686","11.03125","11.03125","11.03125","200","200","200","10.15625","10.15625","10.15625","10.3125","10.3125","10.3125","85.265625","85.265625","85.265625"
"687","10.3359375","10.3359375","10.3359375","200","200","200","9.3046875","9.3046875","9.3046875","11.1875","11.1875","11.1875","35","35","35"
"688","10.2734375","10.2734375","10.2734375","200","200","200","9.296875","9.296875","9.296875","11.3828125","11.3828125","11.3828125","14.796875","14.796875","14.796875"
"689","11.2890625","11.2890625","11.2890625","200","200","200","9.3828125","9.3828125","9.3828125","11.015625","11.015625","11.015625","25.40625","25.40625","25.40625"
"690","11.328125","11.328125","11.328125","200","200","200","9.421875","9.421875","9.421875","9.71875","9.71875","9.71875","84.578125","84.578125","84.578125"
"691","9.7578125","9.7578125","9.7578125","200","200","200","9.3359375","9.3359375","9.3359375","9.734375","9.734375","9.734375","91.7109375","91.7109375","91.7109375"
"692","10.15625","10.15625","10.15625","200","200","200","9.34375","9.34375","9.34375","12.421875","12.421875","12.421875","82.3671875","82.3671875","82.3671875"
"693","9.2890625","9.2890625","9.2890625","200","200","200","10.328125","10.328125","10.328125","11.5546875","11.5546875","11.5546875","98.9296875","98.9296875","98.9296875"
"694","9.546875","9.546875","9.546875","200","200","200","10.0234375","10.0234375","10.0234375","11.4609375","11.4609375","11.4609375","100.9921875","100.9921875","100.9921875"
"695","9.515625","9.515625","9.515625","200","200","200","9.6796875","9.6796875","9.6796875","12.9296875","12.9296875","12.9296875","100.53125","100.53125","100.53125"
"696","9.5546875","9.5546875","9.5546875","200","200","200","9.5","9.5","9.5","16.5859375","16.5859375","16.5859375","97","97","97"
"697","9.4453125","9.4453125","9.4453125","200","200","200","9.3515625","9.3515625","9.3515625","18.6328125","18.6328125","18.6328125","96.078125","96.078125","96.078125"
"698","9.4140625","9.4140625","9.4140625","200","200","200","9.40625","9.40625","9.40625","26.609375","26.609375","26.609375","100.234375","100.234375","100.234375"
"699","9.703125","9.703125","9.703125","200","200","200","9.34375","9.34375","9.34375","16.78125","16.78125","16.78125","99.390625","99.390625","99.390625"
"700","10.5234375","10.5234375","10.5234375","200","200","200","9.328125","9.328125","9.328125","11.9140625","11.9140625","11.9140625","88.9453125","88.9453125","88.9453125"
"701","11.359375","11.359375","11.359375","199.3359375","199.3359375","199.3359375","9.3203125","9.3203125","9.3203125","11.828125","11.828125","11.828125","86.3359375","86.3359375","86.3359375"
"702","12.4921875","12.4921875","12.4921875","200","200","200","9.2578125","9.2578125","9.2578125","12.71875","12.71875","12.71875","86.9296875","86.9296875","86.9296875"
"703","12.5546875","12.5546875","12.5546875","200","200","200","9.2734375","9.2734375","9.2734375","11.5","11.5","11.5","89.484375","89.484375","89.484375"
"704","13.6953125","13.6953125","13.6953125","200","200","200","9.3359375","9.3359375","9.3359375","11.1796875","11.1796875","11.1796875","83.4296875","83.4296875","83.4296875"
"705","13.328125","13.328125","13.328125","200","200","200","9.328125","9.328125","9.328125","11.4296875","11.4296875","11.4296875","25.953125","25.953125","25.953125"
"706","14.4453125","14.4453125","14.4453125","200","200","200","9.3203125","9.3203125","9.3203125","12.7109375","12.7109375","12.7109375","20.6171875","20.6171875","20.6171875"
"707","13.0234375","13.0234375","13.0234375","200","200","200","9.359375","9.359375","9.359375","12.2890625","12.2890625","12.2890625","80.6328125","80.6328125","80.6328125"
"708","13.2890625","13.2890625","13.2890625","200","200","200","9.359375","9.359375","9.359375","11.8515625","11.8515625","11.8515625","33.953125","33.953125","33.953125"
"709","12.5859375","12.5859375","12.5859375","200","200","200","9.3203125","9.3203125","9.3203125","9.6796875","9.6796875","9.6796875","25.1796875","25.1796875","25.1796875"
"710","12.1796875","12.1796875","12.1796875","200","200","200","9.328125","9.328125","9.328125","9.5625","9.5625","9.5625","13.6953125","13.6953125","13.6953125"
"711","10.8046875","10.8046875","10.8046875","200","200","200","9.3671875","9.3671875","9.3671875","9.4296875","9.4296875","9.4296875","15.1015625","15.1015625","15.1015625"
"712","11.1015625","11.1015625","11.1015625","200","200","200","9.390625","9.390625","9.390625","9.296875","9.296875","9.296875","13.234375","13.234375","13.234375"
"713","10.3046875","10.3046875","10.3046875","200","200","200","9.5234375","9.5234375","9.5234375","9.4609375","9.4609375","9.4609375","14.328125","14.328125","14.328125"
"714","11.0625","11.0625","11.0625","200","200","200","9.3359375","9.3359375","9.3359375","9.5234375","9.5234375","9.5234375","16.90625","16.90625","16.90625"
"715","10.3515625","10.3515625","10.3515625","200","200","200","9.3203125","9.3203125","9.3203125","11.40625","11.40625","11.40625","47.0078125","47.0078125","47.0078125"
"716","9.5234375","9.5234375","9.5234375","200","200","200","9.421875","9.421875","9.421875","10.828125","10.828125","10.828125","74.921875","74.921875","74.921875"
"717","9.421875","9.421875","9.421875","199.578125","199.578125","199.578125","9.46875","9.46875","9.46875","9.8359375","9.8359375","9.8359375","79.21875","79.21875","79.21875"
"718","10.9296875","10.9296875","10.9296875","196.828125","196.828125","196.828125","9.3203125","9.3203125","9.3203125","9.84375","9.84375","9.84375","79.9921875","79.9921875","79.9921875"
"719","9.6796875","9.6796875","9.6796875","199.6171875","199.6171875","199.6171875","9.3984375","9.3984375","9.3984375","9.828125","9.828125","9.828125","87.328125","87.328125","87.328125"
"720","9.671875","9.671875","9.671875","200","200","200","9.40625","9.40625","9.40625","10.734375","10.734375","10.734375","93.6328125","93.6328125","93.6328125"
