"Step","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_9_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_9_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_9_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_8_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_8_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_8_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_7_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_7_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_7_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_6_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_6_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_6_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_5_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_5_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_5_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_4_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_4_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_4_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_3_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_3_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_3_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_2_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_2_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_2_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_1_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_1_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_1_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_0_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_0_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_0_contcorrect_True - current_best_fitness__MAX"
"0","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"3","-124.6500015258789","-124.6500015258789","-124.6500015258789","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-177.90000915527344","-177.90000915527344","-177.90000915527344","-199","-199","-199","-199","-199","-199","-198.8000030517578","-198.8000030517578","-198.8000030517578","-199","-199","-199"
"4","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-198.8000030517578","-198.8000030517578","-198.8000030517578","-195.10000610351562","-195.10000610351562","-195.10000610351562","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"5","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-193.85000610351562","-193.85000610351562","-193.85000610351562","-199","-199","-199"
"9","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-198.5","-198.5","-198.5","-199","-199","-199","-191.60000610351562","-191.60000610351562","-191.60000610351562","-199","-199","-199","-199","-199","-199"
"11","-199","-199","-199","-199","-199","-199","-167.65000915527344","-167.65000915527344","-167.65000915527344","-199","-199","-199","-193.6999969482422","-193.6999969482422","-193.6999969482422","-198.1999969482422","-198.1999969482422","-198.1999969482422","-199","-199","-199","-199","-199","-199","-199","-199","-199","-187.6999969482422","-187.6999969482422","-187.6999969482422"
"14","-199","-199","-199","-199","-199","-199","-189.1999969482422","-189.1999969482422","-189.1999969482422","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"16","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"17","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-177.25","-177.25","-177.25","-199","-199","-199","-199","-199","-199","-199","-199","-199","-198.65000915527344","-198.65000915527344","-198.65000915527344"
"18","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-172.3000030517578","-172.3000030517578","-172.3000030517578"
"19","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-145.10000610351562","-145.10000610351562","-145.10000610351562","-199","-199","-199","-199","-199","-199","-169.5","-169.5","-169.5","-125.20000457763672","-125.20000457763672","-125.20000457763672","-188.35000610351562","-188.35000610351562","-188.35000610351562"
"21","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-196.6999969482422","-196.6999969482422","-196.6999969482422","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-196.90000915527344","-196.90000915527344","-196.90000915527344"
"25","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-198.60000610351562","-198.60000610351562","-198.60000610351562","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-160.60000610351562","-160.60000610351562","-160.60000610351562"
"26","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-187.6999969482422","-187.6999969482422","-187.6999969482422","-199","-199","-199","-199","-199","-199","-199","-199","-199","-163.1999969482422","-163.1999969482422","-163.1999969482422"
"27","-199","-199","-199","-196.85000610351562","-196.85000610351562","-196.85000610351562","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"33","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-190.90000915527344","-190.90000915527344","-190.90000915527344","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"34","-199","-199","-199","-177.9499969482422","-177.9499969482422","-177.9499969482422","-199","-199","-199","-149.75","-149.75","-149.75","-199","-199","-199","-199","-199","-199","-199","-199","-199","-176.90000915527344","-176.90000915527344","-176.90000915527344","-199","-199","-199","-199","-199","-199"
"35","-164.85000610351562","-164.85000610351562","-164.85000610351562","-179.10000610351562","-179.10000610351562","-179.10000610351562","-199","-199","-199","-183.3000030517578","-183.3000030517578","-183.3000030517578","-199","-199","-199","-146.60000610351562","-146.60000610351562","-146.60000610351562","-190.10000610351562","-190.10000610351562","-190.10000610351562","-199","-199","-199","-194.85000610351562","-194.85000610351562","-194.85000610351562","-199","-199","-199"
"36","-198.90000915527344","-198.90000915527344","-198.90000915527344","-199","-199","-199","-199","-199","-199","-156.5500030517578","-156.5500030517578","-156.5500030517578","-199","-199","-199","-168.1999969482422","-168.1999969482422","-168.1999969482422","-199","-199","-199","-199","-199","-199","-199","-199","-199","-195.15000915527344","-195.15000915527344","-195.15000915527344"
"39","-176.9499969482422","-176.9499969482422","-176.9499969482422","-199","-199","-199","-199","-199","-199","-158.8000030517578","-158.8000030517578","-158.8000030517578","-199","-199","-199","-175.90000915527344","-175.90000915527344","-175.90000915527344","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"42","-195.25","-195.25","-195.25","-199","-199","-199","-199","-199","-199","-199","-199","-199","-186.6999969482422","-186.6999969482422","-186.6999969482422","-199","-199","-199","-199","-199","-199","-199","-199","-199","-194.4499969482422","-194.4499969482422","-194.4499969482422","-174.1999969482422","-174.1999969482422","-174.1999969482422"
"44","-199","-199","-199","-199","-199","-199","-198.35000610351562","-198.35000610351562","-198.35000610351562","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-164.35000610351562","-164.35000610351562","-164.35000610351562"
