"Step","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_9_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_9_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_9_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_8_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_8_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_8_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_7_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_7_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_7_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_6_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_6_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_6_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_5_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_5_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_5_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_4_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_4_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_4_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_3_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_3_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_3_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_2_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_2_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_2_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_1_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_1_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_1_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_0_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_0_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_0_contcorrect_True - current_best_fitness__MAX"
"45","-192.25","-192.25","-192.25","-176","-176","-176","-131.65000915527344","-131.65000915527344","-131.65000915527344","-130.3000030517578","-130.3000030517578","-130.3000030517578","-174.3000030517578","-174.3000030517578","-174.3000030517578","-118.0999984741211","-118.0999984741211","-118.0999984741211","-164.85000610351562","-164.85000610351562","-164.85000610351562","-134.40000915527344","-134.40000915527344","-134.40000915527344","-171.10000610351562","-171.10000610351562","-171.10000610351562","-113.25","-113.25","-113.25"
"46","-178.5500030517578","-178.5500030517578","-178.5500030517578","-199","-199","-199","-147.15000915527344","-147.15000915527344","-147.15000915527344","-131.90000915527344","-131.90000915527344","-131.90000915527344","-153.65000915527344","-153.65000915527344","-153.65000915527344","-169.90000915527344","-169.90000915527344","-169.90000915527344","-160.9499969482422","-160.9499969482422","-160.9499969482422","-120.05000305175781","-120.05000305175781","-120.05000305175781","-199","-199","-199","-164.10000610351562","-164.10000610351562","-164.10000610351562"
"48","-154.3000030517578","-154.3000030517578","-154.3000030517578","-199","-199","-199","-176.85000610351562","-176.85000610351562","-176.85000610351562","-116","-116","-116","-190.40000915527344","-190.40000915527344","-190.40000915527344","-133.60000610351562","-133.60000610351562","-133.60000610351562","-145.40000915527344","-145.40000915527344","-145.40000915527344","-125.55000305175781","-125.55000305175781","-125.55000305175781","-199","-199","-199","-128.15000915527344","-128.15000915527344","-128.15000915527344"
"50","-168.4499969482422","-168.4499969482422","-168.4499969482422","-199","-199","-199","-140.40000915527344","-140.40000915527344","-140.40000915527344","-129.25","-129.25","-129.25","-177.9499969482422","-177.9499969482422","-177.9499969482422","-131.4499969482422","-131.4499969482422","-131.4499969482422","-130.5","-130.5","-130.5","-129.5500030517578","-129.5500030517578","-129.5500030517578","-199","-199","-199","-132.4499969482422","-132.4499969482422","-132.4499969482422"
"51","-172.90000915527344","-172.90000915527344","-172.90000915527344","-199","-199","-199","-131.65000915527344","-131.65000915527344","-131.65000915527344","-119.80000305175781","-119.80000305175781","-119.80000305175781","-161.65000915527344","-161.65000915527344","-161.65000915527344","-140.65000915527344","-140.65000915527344","-140.65000915527344","-139.85000610351562","-139.85000610351562","-139.85000610351562","-137","-137","-137","-199","-199","-199","-134.4499969482422","-134.4499969482422","-134.4499969482422"
"52","-139.4499969482422","-139.4499969482422","-139.4499969482422","-198.6999969482422","-198.6999969482422","-198.6999969482422","-130.8000030517578","-130.8000030517578","-130.8000030517578","-125.0999984741211","-125.0999984741211","-125.0999984741211","-160.1999969482422","-160.1999969482422","-160.1999969482422","-122.5999984741211","-122.5999984741211","-122.5999984741211","-133.10000610351562","-133.10000610351562","-133.10000610351562","-107","-107","-107","-199","-199","-199","-112.5999984741211","-112.5999984741211","-112.5999984741211"
"53","-183.15000915527344","-183.15000915527344","-183.15000915527344","-199","-199","-199","-117.80000305175781","-117.80000305175781","-117.80000305175781","-110","-110","-110","-155.85000610351562","-155.85000610351562","-155.85000610351562","-153.75","-153.75","-153.75","-139.10000610351562","-139.10000610351562","-139.10000610351562","-128.5","-128.5","-128.5","-199","-199","-199","-129.8000030517578","-129.8000030517578","-129.8000030517578"
"56","-131.5","-131.5","-131.5","-199","-199","-199","-131.35000610351562","-131.35000610351562","-131.35000610351562","-115.75","-115.75","-115.75","-160.0500030517578","-160.0500030517578","-160.0500030517578","-158.15000915527344","-158.15000915527344","-158.15000915527344","-119.4000015258789","-119.4000015258789","-119.4000015258789","-119.25","-119.25","-119.25","-191","-191","-191","-115.95000457763672","-115.95000457763672","-115.95000457763672"
"57","-148.1999969482422","-148.1999969482422","-148.1999969482422","-199","-199","-199","-137.25","-137.25","-137.25","-129.25","-129.25","-129.25","-151.25","-151.25","-151.25","-136.5500030517578","-136.5500030517578","-136.5500030517578","-139.75","-139.75","-139.75","-119.0999984741211","-119.0999984741211","-119.0999984741211","-199","-199","-199","-105.55000305175781","-105.55000305175781","-105.55000305175781"
"58","-123.5","-123.5","-123.5","-195.85000610351562","-195.85000610351562","-195.85000610351562","-132.9499969482422","-132.9499969482422","-132.9499969482422","-122.45000457763672","-122.45000457763672","-122.45000457763672","-152.10000610351562","-152.10000610351562","-152.10000610351562","-140.6999969482422","-140.6999969482422","-140.6999969482422","-155.0500030517578","-155.0500030517578","-155.0500030517578","-131.90000915527344","-131.90000915527344","-131.90000915527344","-199","-199","-199","-129.85000610351562","-129.85000610351562","-129.85000610351562"
"59","-139.90000915527344","-139.90000915527344","-139.90000915527344","-199","-199","-199","-135.10000610351562","-135.10000610351562","-135.10000610351562","-115.05000305175781","-115.05000305175781","-115.05000305175781","-154.1999969482422","-154.1999969482422","-154.1999969482422","-143.0500030517578","-143.0500030517578","-143.0500030517578","-113.5999984741211","-113.5999984741211","-113.5999984741211","-127.6500015258789","-127.6500015258789","-127.6500015258789","-199","-199","-199","-122.5999984741211","-122.5999984741211","-122.5999984741211"
"62","-136.5","-136.5","-136.5","-181.3000030517578","-181.3000030517578","-181.3000030517578","-131.6999969482422","-131.6999969482422","-131.6999969482422","-115.45000457763672","-115.45000457763672","-115.45000457763672","-138.85000610351562","-138.85000610351562","-138.85000610351562","-137.65000915527344","-137.65000915527344","-137.65000915527344","-133.8000030517578","-133.8000030517578","-133.8000030517578","-117.20000457763672","-117.20000457763672","-117.20000457763672","-199","-199","-199","-139.1999969482422","-139.1999969482422","-139.1999969482422"
"63","-148.0500030517578","-148.0500030517578","-148.0500030517578","-192.60000610351562","-192.60000610351562","-192.60000610351562","-124.55000305175781","-124.55000305175781","-124.55000305175781","-117.20000457763672","-117.20000457763672","-117.20000457763672","-132.90000915527344","-132.90000915527344","-132.90000915527344","-117.1500015258789","-117.1500015258789","-117.1500015258789","-111.1500015258789","-111.1500015258789","-111.1500015258789","-114.55000305175781","-114.55000305175781","-114.55000305175781","-163.1999969482422","-163.1999969482422","-163.1999969482422","-127.30000305175781","-127.30000305175781","-127.30000305175781"
