"Step","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_9_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_9_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_9_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_8_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_8_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_8_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_7_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_7_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_7_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_6_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_6_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_6_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_5_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_5_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_5_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_4_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_4_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_4_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_3_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_3_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_3_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_2_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_2_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_2_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_1_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_1_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_1_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_0_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_0_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_0_contcorrect_True - current_best_fitness__MAX"
"0","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-153.65000915527344","-153.65000915527344","-153.65000915527344"
"3","-135.90000915527344","-135.90000915527344","-135.90000915527344","-199","-199","-199","-139.65000915527344","-139.65000915527344","-139.65000915527344","-199","-199","-199","-180.5","-180.5","-180.5","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"4","-197.65000915527344","-197.65000915527344","-197.65000915527344","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"5","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"9","-197.5","-197.5","-197.5","-191.6999969482422","-191.6999969482422","-191.6999969482422","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"11","-140.65000915527344","-140.65000915527344","-140.65000915527344","-198.9499969482422","-198.9499969482422","-198.9499969482422","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"14","-152","-152","-152","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"16","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-171.75","-171.75","-171.75","-157.60000610351562","-157.60000610351562","-157.60000610351562","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"17","-189.35000610351562","-189.35000610351562","-189.35000610351562","-197.15000915527344","-197.15000915527344","-197.15000915527344","-196.6999969482422","-196.6999969482422","-196.6999969482422","-171.25","-171.25","-171.25","-187.6999969482422","-187.6999969482422","-187.6999969482422","-199","-199","-199","-199","-199","-199","-193.6999969482422","-193.6999969482422","-193.6999969482422","-199","-199","-199","-199","-199","-199"
"18","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-194.6999969482422","-194.6999969482422","-194.6999969482422","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"19","-199","-199","-199","-194.3000030517578","-194.3000030517578","-194.3000030517578","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-197.15000915527344","-197.15000915527344","-197.15000915527344","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"21","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-167.75","-167.75","-167.75","-199","-199","-199","-198.65000915527344","-198.65000915527344","-198.65000915527344","-199","-199","-199","-199","-199","-199"
"25","-193.60000610351562","-193.60000610351562","-193.60000610351562","-199","-199","-199","-199","-199","-199","-199","-199","-199","-164.1999969482422","-164.1999969482422","-164.1999969482422","-199","-199","-199","-186.5","-186.5","-186.5","-159.60000610351562","-159.60000610351562","-159.60000610351562","-199","-199","-199","-199","-199","-199"
"26","-158.35000610351562","-158.35000610351562","-158.35000610351562","-199","-199","-199","-194.25","-194.25","-194.25","-199","-199","-199","-131.90000915527344","-131.90000915527344","-131.90000915527344","-187.1999969482422","-187.1999969482422","-187.1999969482422","-159.15000915527344","-159.15000915527344","-159.15000915527344","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"27","-188.90000915527344","-188.90000915527344","-188.90000915527344","-196.65000915527344","-196.65000915527344","-196.65000915527344","-199","-199","-199","-199","-199","-199","-190.8000030517578","-190.8000030517578","-190.8000030517578","-163.5500030517578","-163.5500030517578","-163.5500030517578","-198.75","-198.75","-198.75","-168.35000610351562","-168.35000610351562","-168.35000610351562","-199","-199","-199","-199","-199","-199"
"33","-182.5500030517578","-182.5500030517578","-182.5500030517578","-199","-199","-199","-186.0500030517578","-186.0500030517578","-186.0500030517578","-199","-199","-199","-159.6999969482422","-159.6999969482422","-159.6999969482422","-143.4499969482422","-143.4499969482422","-143.4499969482422","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199"
"34","-176.5","-176.5","-176.5","-199","-199","-199","-199","-199","-199","-199","-199","-199","-141.3000030517578","-141.3000030517578","-141.3000030517578","-144.40000915527344","-144.40000915527344","-144.40000915527344","-199","-199","-199","-185.6999969482422","-185.6999969482422","-185.6999969482422","-199","-199","-199","-199","-199","-199"
"35","-148.8000030517578","-148.8000030517578","-148.8000030517578","-193.35000610351562","-193.35000610351562","-193.35000610351562","-177.60000610351562","-177.60000610351562","-177.60000610351562","-199","-199","-199","-147.3000030517578","-147.3000030517578","-147.3000030517578","-171.90000915527344","-171.90000915527344","-171.90000915527344","-192.60000610351562","-192.60000610351562","-192.60000610351562","-195.25","-195.25","-195.25","-199","-199","-199","-173.5","-173.5","-173.5"
"36","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-199","-135.60000610351562","-135.60000610351562","-135.60000610351562","-145.8000030517578","-145.8000030517578","-145.8000030517578","-146.1999969482422","-146.1999969482422","-146.1999969482422","-131.10000610351562","-131.10000610351562","-131.10000610351562","-199","-199","-199","-199","-199","-199"
"39","-141.65000915527344","-141.65000915527344","-141.65000915527344","-199","-199","-199","-155.25","-155.25","-155.25","-199","-199","-199","-153.4499969482422","-153.4499969482422","-153.4499969482422","-183.15000915527344","-183.15000915527344","-183.15000915527344","-168.10000610351562","-168.10000610351562","-168.10000610351562","-162.9499969482422","-162.9499969482422","-162.9499969482422","-199","-199","-199","-198.40000915527344","-198.40000915527344","-198.40000915527344"
