eval/mean_eval_eplen,eval_video/return_s/h2_one_wheel_car,media/eval_video_s/h6_unicycle_right,media/eval_video_s/h5_rotate_fall,eval_video/len_s/h9_explode_then_thrust_over,timing/sps,eval_video/return_s/h0_weak_thrust,eval_avg/solve_rate_s/h8_unicycle_balance,eval_avg/return_s/h6_unicycle_right,eval_avg/return_s/h1_thrust_over_ball,num_completed_episodes,eval_video/return_s/h1_thrust_over_ball,eval_video/len_s/h7_unicycle_left,eval_avg/solve_rate_s/h7_unicycle_left,eval_avg/solve_rate_s/h6_unicycle_right,eval_avg/solve_rate_s/h1_thrust_over_ball,eval_avg/solve_rate_s/h0_weak_thrust,eval_avg/solve_rate_s/h4_thrust_aim,media/eval_video_s/h0_weak_thrust,eval_avg/return_s/h0_weak_thrust,eval_video/return_s/h4_thrust_aim,eval_avg/solve_rate_s/h2_one_wheel_car,eval_video/len_s/h4_thrust_aim,episode_return,media/eval_video_s/h7_unicycle_left,eval_avg/solve_rate_s/h9_explode_then_thrust_over,eval/mean_eval_return,eval_video/len_s/h2_one_wheel_car,eval_video/len_s/h8_unicycle_balance,media/eval_video_s/h9_explode_then_thrust_over,episode_solved,eval_video/len_s/h0_weak_thrust,eval_video/return_s/h5_rotate_fall,_timestamp,timing/num_updates,timing/num_env_steps,eval_avg/return_s/h4_thrust_aim,media/eval_video_s/h3_point_the_thruster,eval_avg/return_s/h2_one_wheel_car,eval_avg/return_s/h8_unicycle_balance,eval_avg/return_s/h9_explode_then_thrust_over,eval_avg/return_s/h7_unicycle_left,eval_avg/return_s/h5_rotate_fall,eval_video/return_s/h8_unicycle_balance,_step,eval_avg/solve_rate_s/h5_rotate_fall,eval_video/len_s/h6_unicycle_right,timing/sps_agg,eval_avg/return_s/h3_point_the_thruster,_runtime,eval_video/len_s/h1_thrust_over_ball,eval/mean_eval_solve,eval_video/return_s/h6_unicycle_right,media/eval_video_s/h2_one_wheel_car,eval_video/return_s/h9_explode_then_thrust_over,episode_length,eval_video/len_s/h3_point_the_thruster,eval_video/return_s/h3_point_the_thruster,eval_video/len_s/h5_rotate_fall,media/eval_video_s/h8_unicycle_balance,eval_avg/solve_rate_s/h3_point_the_thruster,media/eval_video_s/h1_thrust_over_ball,media/eval_video_s/h4_thrust_aim,eval_video/return_s/h7_unicycle_left
,,,,,42057.101817268405,,,,,71680,,,,,,,,,,,,,-0.3876055181026459,,,,,,,1.3950892935099546e-05,,,1763172477.0905416,10,20480000.0,,,,,,,,,10,,,30139.461257785555,,698.386411853,,,,,,27.99998664855957,,,,,,,,
,,,,,42058.335904468586,,,,,73728,,,,,,,,,,,,,-0.3876595199108124,,,,,,,0.0,,,1763172525.784915,11,22528000.0,,,,,,,,,11,,,30936.466522371524,,747.083639354,,,,,,28.0,,,,,,,,
,,,,,42075.005749110845,,,,,73728,,,,,,,,,,,,,-0.38761746883392334,,,,,,,0.0,,,1763172574.459625,12,24576000.0,,,,,,,,,12,,,31634.34804032175,,795.755467001,,,,,,28.0,,,,,,,,
,,,,,42071.2947941176,,,,,73728,,,,,,,,,,,,,-0.3876318335533142,,,,,,,0.0,,,1763172623.13905,13,26624000.0,,,,,,,,,13,,,32249.766923265386,,844.439023424,,,,,,28.0,,,,,,,,
,,,,,42056.35950535528,,,,,71680,,,,,,,,,,,,,-0.38758864998817444,,,,,,,0.0,,,1763172671.835548,14,28672000.0,,,,,,,,,14,,,32796.00166712842,,893.131660121,,,,,,28.0,,,,,,,,
,,,,,42052.10999096568,,,,,73728,,,,,,,,,,,,,-0.3875878155231476,,,,,,,0.0,,,1763172720.5371253,15,30720000.0,,,,,,,,,15,,,33284.418190232536,,941.833175537,,,,,,28.0,,,,,,,,
,,,,,42069.66826354516,,,,,73728,,,,,,,,,,,,,-0.38758447766304016,,,,,,,1.3563368156610522e-05,,,1763172769.2186432,16,32768000.0,,,,,,,,,16,,,33724.57922901242,,990.515326519,,,,,,27.99998664855957,,,,,,,,
,,,,,42062.64167114082,,,,,71680,,,,,,,,,,,,,-0.3876683712005615,,,,,,,0.0,,,1763172817.9075592,17,34816000.0,,,,,,,,,17,,,34122.46654438835,,1039.204324972,,,,,,28.0,,,,,,,,
,,,,,42070.54847830867,,,,,73728,,,,,,,,,,,,,-0.38755518198013306,,,,,,,2.7126736313221045e-05,,,1763172866.5877187,18,36864000.0,,,,,,,,,18,,,34484.40471735636,,1087.882154583,,,,,,27.99997329711914,,,,,,,,
,,,,,42045.14215220834,,,,,73728,,,,,,,,,,,,,-0.38765305280685425,,,,,,,0.0,,,1763172915.297542,19,38912000.0,,,,,,,,,19,,,34813.89862635104,,1136.59412582,,,,,,28.0,,,,,,,,
,,,,,42053.23837564737,,,,,73728,,,,,,,,,,,,,-0.3876470625400543,,,,,,,0.0,,,1763172963.9977553,20,40960000.0,,,,,,,,,20,,,35116.15570770399,,1185.292584435,,,,,,28.0,,,,,,,,
,,,,,42062.85382095067,,,,,71680,,,,,,,,,,,,,-0.38770732283592224,,,,,,,0.0,,,1763173012.6866288,21,43008000.0,,,,,,,,,21,,,35394.50895225392,,1233.981711228,,,,,,28.0,,,,,,,,
,,,,,42055.50562167421,,,,,73728,,,,,,,,,,,,,-0.38759493827819824,,,,,,,1.3563368156610522e-05,,,1763173061.3838387,22,45056000.0,,,,,,,,,22,,,35651.174465283344,,1282.68180282,,,,,,27.99998664855957,,,,,,,,
