episode_length,episode_return,media/eval_video_s/h0_weak_thrust,eval_avg/return_s/h7_unicycle_left,eval_video/return_s/h4_thrust_aim,episode_solved,eval_avg/solve_rate_s/h0_weak_thrust,eval_video/return_s/h6_unicycle_right,eval_video/return_s/h1_thrust_over_ball,eval_avg/solve_rate_s/h1_thrust_over_ball,eval_avg/solve_rate_s/h3_point_the_thruster,eval_video/len_s/h1_thrust_over_ball,media/eval_video_s/h6_unicycle_right,media/eval_video_s/h9_explode_then_thrust_over,eval/mean_eval_eplen,eval_avg/return_s/h3_point_the_thruster,timing/sps_agg,_timestamp,eval_video/len_s/h4_thrust_aim,eval_video/len_s/h7_unicycle_left,timing/num_env_steps,timing/num_updates,media/eval_video_s/h7_unicycle_left,eval_avg/solve_rate_s/h2_one_wheel_car,eval_avg/solve_rate_s/h8_unicycle_balance,eval_avg/return_s/h9_explode_then_thrust_over,media/eval_video_s/h5_rotate_fall,eval/mean_eval_return,eval_avg/return_s/h2_one_wheel_car,eval_video/len_s/h6_unicycle_right,eval_video/len_s/h0_weak_thrust,eval_video/len_s/h9_explode_then_thrust_over,media/eval_video_s/h1_thrust_over_ball,eval_video/len_s/h5_rotate_fall,eval_avg/solve_rate_s/h5_rotate_fall,eval_avg/solve_rate_s/h6_unicycle_right,eval_video/return_s/h2_one_wheel_car,_step,eval_video/return_s/h9_explode_then_thrust_over,eval_avg/return_s/h8_unicycle_balance,eval_video/len_s/h8_unicycle_balance,num_completed_episodes,eval_avg/return_s/h5_rotate_fall,media/eval_video_s/h8_unicycle_balance,eval_video/return_s/h7_unicycle_left,eval_video/len_s/h2_one_wheel_car,eval_avg/return_s/h6_unicycle_right,eval_avg/return_s/h0_weak_thrust,eval_video/return_s/h0_weak_thrust,eval_avg/solve_rate_s/h4_thrust_aim,eval_avg/return_s/h4_thrust_aim,media/eval_video_s/h3_point_the_thruster,_runtime,media/eval_video_s/h4_thrust_aim,eval_video/return_s/h8_unicycle_balance,eval_avg/return_s/h1_thrust_over_ball,eval/mean_eval_solve,media/eval_video_s/h2_one_wheel_car,timing/sps,eval_video/len_s/h3_point_the_thruster,eval_video/return_s/h5_rotate_fall,eval_avg/solve_rate_s/h9_explode_then_thrust_over,eval_avg/solve_rate_s/h7_unicycle_left,eval_video/return_s/h3_point_the_thruster
256,0.20239956676959991,,,,0,,,,,,,,,,,29703.50540147386,1763180428.5394986,,,20480000.0,10,,,,,,,,,,,,,,,,10,,,,6144,,,,,,,,,,,708.419782701,,,,,,41444.49250294542,,,,,
256,0.202109694480896,,,,0,,,,,,,,,,,30488.085149143226,1763180477.9714012,,,22528000.0,11,,,,,,,,,,,,,,,,11,,,,8192,,,,,,,,,,,757.855730271,,,,,,41431.74595546149,,,,,
256,0.20309609174728394,,,,0,,,,,,,,,,,31174.637774315383,1763180527.391575,,,24576000.0,12,,,,,,,,,,,,,,,,12,,,,8192,,,,,,,,,,,807.272133239,,,,,,41439.429326760786,,,,,
256,0.2020554095506668,,,,0,,,,,,,,,,,31780.91124491849,1763180576.7940202,,,26624000.0,13,,,,,,,,,,,,,,,,13,,,,8192,,,,,,,,,,,856.672624846,,,,,,41455.44302239449,,,,,
256,0.2014814019203186,,,,0,,,,,,,,,,,32318.59086259004,1763180626.2269964,,,28672000.0,14,,,,,,,,,,,,,,,,14,,,,8192,,,,,,,,,,,906.105436314,,,,,,41430.805942000305,,,,,
256,0.20237672328948975,,,,0,,,,,,,,,,,32799.973718276815,1763180675.6453493,,,30720000.0,15,,,,,,,,,,,,,,,,15,,,,8192,,,,,,,,,,,955.531018668,,,,,,41441.78281803751,,,,,
256,0.20150282979011536,,,,0,,,,,,,,,,,33232.53337360987,1763180725.0809271,,,32768000.0,16,,,,,,,,,,,,,,,,16,,,,8192,,,,,,,,,,,1004.96443898,,,,,,41427.624920359725,,,,,
256,0.20154955983161926,,,,0,,,,,,,,,,,33622.93708096871,1763180774.5424087,,,34816000.0,17,,,,,,,,,,,,,,,,17,,,,8192,,,,,,,,,,,1054.430418443,,,,,,41405.62930157272,,,,,
256,0.20133402943611145,,,,0,,,,,,,,,,,33979.04464231907,1763180823.9631307,,,36864000.0,18,,,,,,,,,,,,,,,,18,,,,8192,,,,,,,,,,,1103.843078506,,,,,,41440.41431390018,,,,,
256,0.20163124799728394,,,,0,,,,,,,,,,,34304.00723288759,1763180873.3865168,,,38912000.0,19,,,,,,,,,,,,,,,,19,,,,8192,,,,,,,,,,,1153.266914346,,,,,,41437.22282164079,,,,,
